19	87	  0.0039
19	80	  0.0059
11	91	  0.0087
42	62	  0.0106
8	96	  0.0121
9	27	  0.0203
9	84	  0.0223
91	99	  0.0234
29	81	  0.0321
58	70	  0.0332
23	87	  0.0363
50	68	  0.0436
26	82	  0.0469
66	96	  0.0515
10	45	  0.0523
41	68	  0.0581
2	82	  0.0586
42	95	  0.0622
58	87	  0.0622
65	82	  0.0634
56	82	  0.0682
58	76	  0.0707
50	89	  0.0786
26	30	  0.0796
39	70	  0.0817
1	53	  0.0821
30	65	  0.0826
45	74	  0.0847
25	50	  0.0853
39	76	  0.0861
23	76	  0.0917
2	30	  0.0932
31	97	  0.0940
78	91	  0.0943
22	87	  0.0953
27	53	  0.0972
14	73	  0.0985
30	56	  0.0988
53	84	  0.0991
18	42	  0.0995
3	76	  0.1023
79	91	  0.1039
19	49	  0.1056
42	96	  0.1081
25	41	  0.1094
29	65	  0.1166
21	42	  0.1174
23	70	  0.1186
16	47	  0.1196
3	70	  0.1203
5	7	  0.1232
41	89	  0.1250
25	73	  0.1339
23	80	  0.1402
38	45	  0.1413
7	82	  0.1427
35	50	  0.1436
76	90	  0.1464
26	29	  0.1501
22	80	  0.1603
29	56	  0.1605
2	29	  0.1679
12	76	  0.1768
7	30	  0.1817
0	19	  0.1828
10	47	  0.1841
20	76	  0.1884
9	68	  0.1885
17	76	  0.1915
10	70	  0.1918
19	98	  0.1957
9	65	  0.2052
19	42	  0.2093
35	41	  0.2120
52	91	  0.2148
6	98	  0.2161
5	27	  0.2169
34	52	  0.2174
5	84	  0.2203
6	42	  0.2220
8	19	  0.2237
9	25	  0.2336
42	46	  0.2342
96	97	  0.2405
87	91	  0.2415
46	76	  0.2416
9	77	  0.2417
13	50	  0.2431
53	68	  0.2525
6	76	  0.2566
27	45	  0.2580
45	84	  0.2595
7	29	  0.2600
50	63	  0.2646
36	73	  0.2706
65	73	  0.2788
70	90	  0.2857
25	53	  0.2900
38	47	  0.2919
47	74	  0.2945
73	81	  0.2993
22	42	  0.3020
39	82	  0.3026
34	78	  0.3241
11	76	  0.3301
50	64	  0.3332
3	82	  0.3367
20	42	  0.3381
58	82	  0.3383
1	45	  0.3465
19	66	  0.3480
12	70	  0.3507
10	14	  0.3527
17	42	  0.3531
62	76	  0.3547
17	70	  0.3570
12	42	  0.3578
30	39	  0.3592
18	97	  0.3610
76	95	  0.3695
13	41	  0.3696
23	42	  0.3709
76	99	  0.3710
53	77	  0.3763
80	91	  0.3776
15	52	  0.3790
21	76	  0.3792
31	34	  0.3793
27	47	  0.3794
20	70	  0.3800
47	84	  0.3804
45	68	  0.3813
6	8	  0.3861
10	65	  0.3865
42	90	  0.3875
43	50	  0.3899
19	97	  0.3959
42	91	  0.3963
34	96	  0.3978
3	30	  0.4011
22	98	  0.4019
25	45	  0.4030
11	36	  0.4104
30	58	  0.4182
18	76	  0.4376
8	22	  0.4393
15	78	  0.4406
53	55	  0.4455
10	81	  0.4476
9	89	  0.4530
16	65	  0.4572
5	68	  0.4576
15	96	  0.4625
47	68	  0.4677
22	49	  0.4703
29	39	  0.4711
43	84	  0.4717
